,baseMean,log2FoldChange,lfcSE,pvalue,padj
Lrrc40-201,72.7371025852748,-3.10971862471355,0.516566219525673,5.08625258250909e-10,2.23006225474746e-08
Cand1-201,56.8310737371054,1.8145859481072,0.301344411461909,6.07075824620686e-10,2.65089776751033e-08
Psmd1-201,42.9375527642245,5.75877552200363,1.24768880559605,6.18126369069852e-10,2.68822407147706e-08
Zfp616-205,69.9216295665407,-4.63433566068505,0.761315114783068,6.64289889958875e-10,2.87733951529768e-08
Ooep-201,366.955929293729,2.93429891733597,0.506573825631039,6.72600540118279e-10,2.90163654696809e-08
Zfp654-202,23.3492396431222,-2.84351121941817,0.47779644270093,7.0322962585868e-10,3.02163705638958e-08
Phkg2-202,8.12025621466281,-4.40506998714433,0.747344885731716,7.19750075202702e-10,3.08030091945316e-08
Plaa-201,47.2786284268383,2.18259650266403,0.364773183987188,7.43880184084031e-10,3.1709368799328e-08
Pop5-201,13.1284562657118,-3.88019114563618,0.682178682576952,7.7516764707117e-10,3.28775096264486e-08
4930432K21Rik-202,14.5639643076603,-2.86994004581172,0.495060322427621,7.77405273237566e-10,3.28775096264486e-08
Tcl1b4-201,129.318001471534,-5.39000779130719,0.949036518050675,8.13373772431583e-10,3.4263768876314e-08
mt-Nd2-201,227.216256073168,2.09166107933962,0.356514404921468,8.24504211451159e-10,3.45969696851889e-08
